skill_id,skill_name,domain,course_id
SK-DBI-074,Scenario Planning,Strategy,DBI-708
SK-DBI-075,Trade-off Modeling,Strategy,DBI-708
SK-DBI-076,Sensitivity Analysis,Finance,DBI-708
SK-DBI-077,Value Realization Planning,Finance,DBI-708
SK-DBI-078,KPI Ownership Design,Operations,DBI-708
SK-DBI-079,Portfolio Governance Chartering,Governance,DBI-708
SK-DBI-080,Executive Portfolio Communication,Communication,DBI-708
SK-DBI-081,Applied Project Scoping,Operations,DBI-709
SK-DBI-082,Outcome Contracting,Leadership,DBI-709
SK-DBI-083,Milestone Planning,Operations,DBI-709
SK-DBI-084,Critique Integration,Design,DBI-709
SK-DBI-085,Artifact Quality Calibration,Design,DBI-709
SK-DBI-086,Decision Trace Logging,Governance,DBI-709
SK-DBI-087,Iteration Documentation,Research,DBI-709
SK-DBI-088,Implementation Handoff Design,Operations,DBI-709
SK-DBI-089,Stakeholder Delivery Communication,Communication,DBI-709
SK-DBI-090,Applied Project Evidence Packaging,Research,DBI-709
SK-DBI-091,Portfolio Arc Architecture,Communication,DBI-710
SK-DBI-092,Evidence Curation,Research,DBI-710
SK-DBI-093,Executive Recommendation Framing,Communication,DBI-710
SK-DBI-094,Objection Response Design,Leadership,DBI-710
SK-DBI-095,Implementation Readiness Narrative,Operations,DBI-710
SK-DBI-096,Risk and Change Positioning,Risk,DBI-710
SK-DBI-097,Employer-Facing Case Packaging,Communication,DBI-710
SK-DBI-098,Role-Aligned Portfolio Positioning,Leadership,DBI-710
SK-DBI-099,Defense Simulation Practice,Leadership,DBI-710
SK-DBI-100,Capstone Narrative Synthesis,Communication,DBI-710
