course_id,course_title,section_id,section_title,task_id,task_title,task_type,ai_enabled,deliverable,competencies,section_skills
DBI-703,Service and Systems Innovation Design,S1,Journey and Service Blueprinting,T1.2,Opportunity Layering,Analytical mapping,Use AG-DBI-04 to overlay opportunity and risk zones.,Opportunity-priority overlay,C3.1,Journey mapping | Service blueprinting | Touchpoint analysis | Failure-point detection
DBI-703,Service and Systems Innovation Design,S2,Prototype Decisions and Validation,T2.1,Prototype Strategy Brief,Design strategy,Use AG-DBI-05 to choose fidelity levels and evaluation approach.,Prototype strategy and test plan,C3.2,Prototype fidelity decisions | Test planning | Iteration cycles | Accessibility validation
DBI-703,Service and Systems Innovation Design,S2,Prototype Decisions and Validation,T2.2,Critique and Iteration Sprint,Studio critique,Use AG-DBI-05 in critique mode to prioritize improvements.,Iteration log and revised prototype package,C3.2,Prototype fidelity decisions | Test planning | Iteration cycles | Accessibility validation
DBI-703,Service and Systems Innovation Design,S3,Implementation Readiness,T3.1,Implementation Readiness Matrix,Planning artifact,"Use AG-DBI-04 and AG-DBI-10 to define handoffs, risks, and readiness gates.",Readiness matrix and dependency map,C3.3 | C3.4,Readiness planning | Dependency mapping | Operational handoff design | Narrative synthesis
DBI-703,Service and Systems Innovation Design,S3,Implementation Readiness,T3.2,Employer-Facing Case Story,Portfolio narrative,Use AG-DBI-10 to package the design rationale and outcomes.,Portfolio case story artifact,C3.3 | C3.4,Readiness planning | Dependency mapping | Operational handoff design | Narrative synthesis
DBI-703,Service and Systems Innovation Design,S4,Course Summative Assessment,T4.1,Service Innovation Portfolio Package,Summative performance assessment,"Use AG-DBI-04, AG-DBI-05, and AG-DBI-10 for final integration and executive framing.","Journey map, prototype evidence, implementation plan, and case narrative",C3.1 | C3.2 | C3.3 | C3.4,Service/system integration | Prototype evaluation | Implementation planning | Portfolio storytelling
DBI-704,Agentic AI Foundations and Opportunity Design,S1,Business Case Selection and Agent Opportunity,T1.1,Business Case Brief,Applied framing,Use AG-DBI-06 to map candidate agent opportunities in the selected degree-relevant case.,Business case brief and opportunity map,C4.1,Business case definition | Agent opportunity detection | Outcome metric framing | Scope control
DBI-704,Agentic AI Foundations and Opportunity Design,S1,Business Case Selection and Agent Opportunity,T1.2,Agent Opportunity Prioritization,Prioritization artifact,"Use AG-DBI-06 to score opportunities by value, effort, and risk.",Opportunity prioritization matrix,C4.1,Business case definition | Agent opportunity detection | Outcome metric framing | Scope control
DBI-704,Agentic AI Foundations and Opportunity Design,S2,Agent Role and Prompt Architecture,T2.1,Agent 1 Design Spec,Design artifact,"Use AG-DBI-07 to build role, context, and output structure for the first agent.",Agent 1 specification and prompt set,C4.2 | C4.3,Role design | Prompt architecture | Context packaging | Boundary setting
DBI-704,Agentic AI Foundations and Opportunity Design,S2,Agent Role and Prompt Architecture,T2.2,Human Control Plan,Governance artifact,"Use AG-DBI-09 to define escalation, validation, and override checkpoints.",Human-control workflow and audit checklist,C4.2 | C4.3,Role design | Prompt architecture | Context packaging | Boundary setting
DBI-704,Agentic AI Foundations and Opportunity Design,S3,"Risk, Ethics, and Readiness",T3.1,Responsible AI Risk Checklist,Risk analysis,Use AG-DBI-09 to run risk scenarios and mitigation mapping.,Risk checklist and mitigation plan,C4.4,Risk identification | Responsible AI controls | Data handling safeguards | Policy translation
DBI-704,Agentic AI Foundations and Opportunity Design,S3,"Risk, Ethics, and Readiness",T3.2,Agent Readiness Review,Gate review,Use AG-DBI-07 and AG-DBI-09 for reliability and policy readiness checks.,Readiness decision packet,C4.4,Risk identification | Responsible AI controls | Data handling safeguards | Policy translation
DBI-704,Agentic AI Foundations and Opportunity Design,S4,Course Summative Assessment,T4.1,Agentic Opportunity and Design Package,Summative performance assessment,"Use AG-DBI-06, AG-DBI-07, and AG-DBI-09 to finalize and defend Agent 1 design.","Business case brief, Agent 1 prototype, and responsible AI package",C4.1 | C4.2 | C4.3 | C4.4,Agent opportunity design | Role architecture | Risk controls | Business alignment
DBI-705,"AI Agent Build, Workflow Integration, and Pilot Testing",S1,Workflow Orchestration Design,T1.1,Agent Workflow Blueprint,Design artifact,Use AG-DBI-06 to define end-to-end orchestration across Agent 1-3 and human checkpoints.,Orchestration map and handoff logic,C5.1,Workflow architecture | Agent handoff design | Exception routing | Role clarity
DBI-705,"AI Agent Build, Workflow Integration, and Pilot Testing",S1,Workflow Orchestration Design,T1.2,Exception and Escalation Design,Control design,Use AG-DBI-09 to specify failure paths and escalation rules.,Exception and escalation playbook,C5.1,Workflow architecture | Agent handoff design | Exception routing | Role clarity
DBI-705,"AI Agent Build, Workflow Integration, and Pilot Testing",S2,Agent Build and Test Cycles,T2.1,Agent 2 and Agent 3 Build,Build artifact,Use AG-DBI-07 to create and refine two additional agents for workflow coverage.,Agent 2 and 3 configurations and test logs,C5.2,Prompt iteration | Context tuning | Reliability testing | Output quality evaluation
DBI-705,"AI Agent Build, Workflow Integration, and Pilot Testing",S2,Agent Build and Test Cycles,T2.2,Reliability Test Harness,Quality testing,Use AG-DBI-07 to run pass/fail cases and tune prompts.,Test harness report with revision history,C5.2,Prompt iteration | Context tuning | Reliability testing | Output quality evaluation
DBI-705,"AI Agent Build, Workflow Integration, and Pilot Testing",S3,Pilot Evaluation and Adoption Planning,T3.1,Pilot KPI Analysis,Applied analytics,Use AG-DBI-08 to compare baseline and pilot outcomes and interpret variance.,Baseline-to-pilot KPI report,C5.3 | C5.4,KPI measurement | Pilot analysis | Change planning | Stakeholder readiness
DBI-705,"AI Agent Build, Workflow Integration, and Pilot Testing",S3,Pilot Evaluation and Adoption Planning,T3.2,Adoption and Enablement Plan,Implementation planning,"Use AG-DBI-08 and AG-DBI-10 to map adoption actions, communication, and ownership.",Adoption plan and stakeholder enablement brief,C5.3 | C5.4,KPI measurement | Pilot analysis | Change planning | Stakeholder readiness
DBI-705,"AI Agent Build, Workflow Integration, and Pilot Testing",S4,Course Summative Assessment,T4.1,Pilot Evidence Dossier,Summative performance assessment,"Use AG-DBI-06, AG-DBI-07, and AG-DBI-08 to finalize pilot outcomes and recommendations.","Multi-agent workflow package, KPI results, and adoption recommendation",C5.1 | C5.2 | C5.3 | C5.4,Multi-agent orchestration | Reliability improvement | Impact measurement | Adoption strategy
DBI-706,Agentic Innovation Capstone and Implementation Strategy,S1,Capstone Integration and Governance,T1.1,Agent Portfolio Integration,Capstone integration,"Use AG-DBI-03 and AG-DBI-09 to combine evidence, controls, and role responsibilities.",Integrated agent portfolio document,C6.1 | C6.2,Portfolio integration | Governance design | Policy mapping | Risk ownership
DBI-706,Agentic Innovation Capstone and Implementation Strategy,S1,Capstone Integration and Governance,T1.2,Governance and Policy Pack,Governance artifact,"Use AG-DBI-09 to finalize policy controls, decision rights, and audit traces.",Governance pack with policy workflow,C6.1 | C6.2,Portfolio integration | Governance design | Policy mapping | Risk ownership
DBI-706,Agentic Innovation Capstone and Implementation Strategy,S2,Value Realization and Rollout Strategy,T2.1,Value Realization Model,Finance and impact analysis,Use AG-DBI-08 to quantify realized and projected outcomes across rollout stages.,Value and ROI model,C6.3,Value modeling | ROI narrative | Scenario planning | Milestone design
DBI-706,Agentic Innovation Capstone and Implementation Strategy,S2,Value Realization and Rollout Strategy,T2.2,Implementation Roadmap,Planning artifact,Use AG-DBI-10 to translate value logic into executive rollout narrative.,12-month implementation roadmap,C6.3,Value modeling | ROI narrative | Scenario planning | Milestone design
DBI-706,Agentic Innovation Capstone and Implementation Strategy,S3,Executive Communication and Defense,T3.1,Executive Brief and Deck,Communication artifact,Use AG-DBI-10 to prepare board-style storyline and decision packet.,Executive brief and presentation deck,C6.4,Executive storytelling | Recommendation defense | Stakeholder Q&A | Objection handling
DBI-706,Agentic Innovation Capstone and Implementation Strategy,S3,Executive Communication and Defense,T3.2,Mock Defense Simulation,Simulation,Use AG-DBI-10 to rehearse challenge questions and refine responses.,Defense rehearsal log,C6.4,Executive storytelling | Recommendation defense | Stakeholder Q&A | Objection handling
DBI-706,Agentic Innovation Capstone and Implementation Strategy,S4,Program and Certificate Summative Assessment,T4.1,Agentic Innovation Capstone Defense,Summative performance assessment,"Use AG-DBI-03, AG-DBI-08, AG-DBI-09, and AG-DBI-10 to finalize defense-ready capstone package.","Capstone portfolio, governance package, value model, roadmap, and oral defense",C6.1 | C6.2 | C6.3 | C6.4,Portfolio synthesis | Governance leadership | Value communication | Implementation defense
DBI-707,Design Operations and Cross-Functional Leadership,S1,Operating Model and Governance Design,T1.1,DesignOps Operating Model,Organizational design,Use AI Studio coaching mode to test role clarity and governance coverage.,DesignOps operating model blueprint,C7.1,Operating model design | RACI clarity | Governance cadence | Escalation design
DBI-707,Design Operations and Cross-Functional Leadership,S1,Operating Model and Governance Design,T1.2,Governance Rhythm Plan,Planning artifact,Use AI critique prompts to evaluate cadence and decision latency risk.,Governance rhythm and escalation matrix,C7.1,Operating model design | RACI clarity | Governance cadence | Escalation design
DBI-707,Design Operations and Cross-Functional Leadership,S2,Cross-Functional Facilitation and Alignment,T2.1,Alignment Workshop Plan,Facilitation design,Use AI coaching mode to script workshop flow and decision checkpoints.,Workshop agenda and facilitation script,C7.2,Stakeholder facilitation | Conflict navigation | Decision workshop design | Alignment tracking
DBI-707,Design Operations and Cross-Functional Leadership,S2,Cross-Functional Facilitation and Alignment,T2.2,Alignment Risk Register,Risk analysis,Use AI critique mode to pressure-test misalignment risks.,Cross-functional alignment risk register,C7.2,Stakeholder facilitation | Conflict navigation | Decision workshop design | Alignment tracking
DBI-707,Design Operations and Cross-Functional Leadership,S3,Execution Planning and Delivery Risk,T3.1,Execution Plan,Delivery planning,Use AI planning prompts to compare sequencing scenarios.,Phased execution plan with dependencies,C7.3 | C7.4,Phased delivery design | Dependency mapping | Risk prioritization | Leadership updates
DBI-707,Design Operations and Cross-Functional Leadership,S3,Execution Planning and Delivery Risk,T3.2,Leadership Status Narrative,Communication artifact,Use AI narrative support to draft concise executive updates.,Leadership status narrative and escalation brief,C7.3 | C7.4,Phased delivery design | Dependency mapping | Risk prioritization | Leadership updates
DBI-707,Design Operations and Cross-Functional Leadership,S4,Course Summative Assessment,T4.1,DesignOps Leadership Package,Summative performance assessment,Use AI Studio critique and coaching cycles for final integration checks.,"Operating model, delivery plan, risk register, and leadership deck",C7.1 | C7.2 | C7.3 | C7.4,Ops leadership | Alignment execution | Risk control | Executive communication
DBI-708,Innovation Portfolio Strategy and Value Realization,S1,Portfolio Opportunity Framing,T1.1,Portfolio Opportunity Canvas,Strategy artifact,Use AI scenario prompts to stress-test fit and sequencing.,Innovation portfolio opportunity canvas,C8.1,Portfolio framing | Prioritization logic | Fit scoring | Strategic alignment
DBI-708,Innovation Portfolio Strategy and Value Realization,S1,Portfolio Opportunity Framing,T1.2,Prioritization Matrix,Analytical artifact,Use AI analysis mode to evaluate value/feasibility trade-offs.,Ranked portfolio prioritization matrix,C8.1,Portfolio framing | Prioritization logic | Fit scoring | Strategic alignment
DBI-708,Innovation Portfolio Strategy and Value Realization,S2,Scenario Planning and Trade-Offs,T2.1,Scenario Comparison Pack,Scenario analysis,Use AI to generate scenario assumptions and downside cases.,Scenario comparison and trade-off report,C8.2,Scenario planning | Trade-off management | Sensitivity framing | Decision rationale
DBI-708,Innovation Portfolio Strategy and Value Realization,S2,Scenario Planning and Trade-Offs,T2.2,Decision Rationale Brief,Communication artifact,Use AI narrative mode for concise executive rationale testing.,Decision rationale brief,C8.2,Scenario planning | Trade-off management | Sensitivity framing | Decision rationale
DBI-708,Innovation Portfolio Strategy and Value Realization,S3,Value and Governance Model,T3.1,Value Realization Blueprint,Planning artifact,Use AI coaching to validate KPI leading/lagging indicator logic.,Value realization blueprint and KPI ownership table,C8.3 | C8.4,Value realization planning | KPI ownership | Governance forums | Portfolio risk tracking
DBI-708,Innovation Portfolio Strategy and Value Realization,S3,Value and Governance Model,T3.2,Portfolio Governance Charter,Governance artifact,Use AI critique mode to evaluate governance cadence and control gaps.,Portfolio governance charter,C8.3 | C8.4,Value realization planning | KPI ownership | Governance forums | Portfolio risk tracking
DBI-708,Innovation Portfolio Strategy and Value Realization,S4,Course Summative Assessment,T4.1,Innovation Portfolio Governance Dossier,Summative performance assessment,Use AI Studio feedback cycles to finalize governance-ready portfolio recommendations.,"Portfolio dossier, value model, governance charter, executive readout",C8.1 | C8.2 | C8.3 | C8.4,Portfolio strategy | Trade-off clarity | Value planning | Governance communication
DBI-709,Applied Industry Project Studio,S1,Project Pathway and Scope Definition,T1.1,Applied Project Charter,Scope artifact,Use AI coaching to validate scope clarity and outcome measurability.,Project charter and scope boundaries,C9.1,Project scoping | Outcome contracting | Constraint mapping | Success metric definition
DBI-709,Applied Industry Project Studio,S1,Project Pathway and Scope Definition,T1.2,Milestone Plan,Planning artifact,Use AI planning support to sequence milestones and review gates.,Milestone and review schedule,C9.1,Project scoping | Outcome contracting | Constraint mapping | Success metric definition
DBI-709,Applied Industry Project Studio,S2,Milestone Production and Critique,T2.1,Milestone Artifact Set 1,Project deliverable,Use AI critique mode for quality review prior to milestone submission.,Milestone artifact package 1,C9.2,Artifact production | Critique response | Quality calibration | Review preparation
DBI-709,Applied Industry Project Studio,S2,Milestone Production and Critique,T2.2,Milestone Artifact Set 2,Project deliverable,Use AI coaching mode to address critique and iterate quality.,Milestone artifact package 2 with revision notes,C9.2,Artifact production | Critique response | Quality calibration | Review preparation
DBI-709,Applied Industry Project Studio,S3,Decision Trace and Implementation Handoff,T3.1,Decision Trace Ledger,Evidence artifact,"Use AI synthesis support to map pivots, alternatives, and decision rationale.",Decision trace ledger,C9.3 | C9.4,Decision logging | Iteration tracking | Implementation handoff | Stakeholder communication
DBI-709,Applied Industry Project Studio,S3,Decision Trace and Implementation Handoff,T3.2,Implementation Handoff Pack,Handoff artifact,Use AI narrative support for implementation-ready handoff instructions.,Implementation handoff package,C9.3 | C9.4,Decision logging | Iteration tracking | Implementation handoff | Stakeholder communication
DBI-709,Applied Industry Project Studio,S4,Course Summative Assessment,T4.1,Applied Project Studio Dossier,Summative performance assessment,Use AI Studio critique and coaching loops for final quality and clarity checks.,"Project dossier with milestones, decisions, and implementation handoff",C9.1 | C9.2 | C9.3 | C9.4,Applied project execution | Critique integration | Decision traceability | Implementation readiness
DBI-710,MS DBI Final Capstone and Portfolio Defense,S1,Portfolio Arc Assembly,T1.1,Portfolio Arc Map,Portfolio design,Use AI coaching mode to test coherence of artifact sequencing.,Portfolio arc map and evidence index,C10.1,Portfolio architecture | Evidence curation | Artifact selection | Narrative continuity
DBI-710,MS DBI Final Capstone and Portfolio Defense,S1,Portfolio Arc Assembly,T1.2,Evidence Quality Audit,Quality audit,Use AI critique mode to identify weak evidence or narrative gaps.,Evidence quality audit and remediation plan,C10.1,Portfolio architecture | Evidence curation | Artifact selection | Narrative continuity
DBI-710,MS DBI Final Capstone and Portfolio Defense,S2,Executive Recommendation and Readiness Narrative,T2.1,Executive Decision Deck,Communication artifact,"Use AI narrative mode for clarity, brevity, and objection handling.",Executive decision deck,C10.2 | C10.3,Executive storytelling | Recommendation defense | Readiness communication | Risk framing
DBI-710,MS DBI Final Capstone and Portfolio Defense,S2,Executive Recommendation and Readiness Narrative,T2.2,Readiness and Adoption Narrative,Implementation communication,Use AI coaching mode to sharpen readiness and change narrative logic.,Implementation readiness narrative,C10.2 | C10.3,Executive storytelling | Recommendation defense | Readiness communication | Risk framing
DBI-710,MS DBI Final Capstone and Portfolio Defense,S3,Employer-Facing Positioning and Defense Prep,T3.1,Employer Portfolio Case Pack,Career artifact,Use AI synthesis mode to tailor portfolio narratives for target role clusters.,Employer-facing case pack,C10.4,Career narrative | Role targeting | Interview evidence framing | Defense rehearsal
DBI-710,MS DBI Final Capstone and Portfolio Defense,S3,Employer-Facing Positioning and Defense Prep,T3.2,Defense Q&A Rehearsal,Simulation,Use AI simulation mode to rehearse committee and executive challenge questions.,Defense rehearsal log and response bank,C10.4,Career narrative | Role targeting | Interview evidence framing | Defense rehearsal
DBI-710,MS DBI Final Capstone and Portfolio Defense,S4,Program Summative Assessment,T4.1,MS DBI Capstone Portfolio Defense,Summative performance assessment,Use AI Studio critique and simulation modes for final readiness checks.,"Final portfolio, executive presentation, and oral defense",C10.1 | C10.2 | C10.3 | C10.4,Portfolio synthesis | Executive influence | Implementation leadership | Professional positioning
